day,event,bird_id,host_species,mite_species,day0_mites
8,1,AMRE2,AMRE,Amerodectes ischyros,34
8,1,AMRE2,AMRE,Amerodectes ischyros,34
8,1,AMRE2,AMRE,Amerodectes ischyros,34
9,1,AMRE2,AMRE,Amerodectes ischyros,34
9,1,AMRE2,AMRE,Amerodectes ischyros,34
9,1,AMRE2,AMRE,Amerodectes ischyros,34
9,1,AMRE2,AMRE,Amerodectes ischyros,34
10,1,AMRE2,AMRE,Amerodectes ischyros,34
10,1,AMRE2,AMRE,Amerodectes ischyros,34
10,1,AMRE2,AMRE,Amerodectes ischyros,34
10,1,AMRE2,AMRE,Amerodectes ischyros,34
10,1,AMRE2,AMRE,Amerodectes ischyros,34
10,1,AMRE2,AMRE,Amerodectes ischyros,34
11,1,AMRE2,AMRE,Amerodectes ischyros,34
11,1,AMRE2,AMRE,Amerodectes ischyros,34
11,1,AMRE2,AMRE,Amerodectes ischyros,34
11,1,AMRE2,AMRE,Amerodectes ischyros,34
11,1,AMRE2,AMRE,Amerodectes ischyros,34
11,1,AMRE2,AMRE,Amerodectes ischyros,34
11,1,AMRE2,AMRE,Amerodectes ischyros,34
5,1,PROW3,PROW,Amerodectes protonotaria,11
5,1,PROW3,PROW,Amerodectes protonotaria,11
6,1,PROW3,PROW,Amerodectes protonotaria,11
6,1,PROW3,PROW,Amerodectes protonotaria,11
6,1,PROW3,PROW,Amerodectes protonotaria,11
6,1,PROW3,PROW,Amerodectes protonotaria,11
7,1,PROW3,PROW,Amerodectes protonotaria,11
7,1,PROW3,PROW,Amerodectes protonotaria,11
8,1,PROW3,PROW,Amerodectes protonotaria,11
8,1,PROW3,PROW,Amerodectes protonotaria,11
9,1,PROW3,PROW,Amerodectes protonotaria,11
7,1,PROW3,PROW,Proctophyllodes quadratus,11
9,1,PROW3,PROW,Proctophyllodes quadratus,3
10,1,PROW3,PROW,Proctophyllodes quadratus,3
1,1,PROW4,PROW,Amerodectes protonotaria,120
1,1,PROW4,PROW,Amerodectes protonotaria,120
1,1,PROW4,PROW,Amerodectes protonotaria,120
1,1,PROW4,PROW,Amerodectes protonotaria,120
1,1,PROW4,PROW,Amerodectes protonotaria,120
2,1,PROW4,PROW,Amerodectes protonotaria,120
2,1,PROW4,PROW,Amerodectes protonotaria,120
2,1,PROW4,PROW,Amerodectes protonotaria,120
2,1,PROW4,PROW,Amerodectes protonotaria,120
2,1,PROW4,PROW,Amerodectes protonotaria,120
2,1,PROW4,PROW,Amerodectes protonotaria,120
3,1,PROW4,PROW,Amerodectes protonotaria,120
4,1,PROW4,PROW,Amerodectes protonotaria,120
4,1,PROW4,PROW,Amerodectes protonotaria,120
4,1,PROW4,PROW,Amerodectes protonotaria,120
4,0,PROW4,PROW,Amerodectes protonotaria,120
5,1,PROW4,PROW,Amerodectes protonotaria,120
5,1,PROW4,PROW,Amerodectes protonotaria,120
5,1,PROW4,PROW,Amerodectes protonotaria,120
5,1,PROW4,PROW,Amerodectes protonotaria,120
5,1,PROW4,PROW,Amerodectes protonotaria,120
5,1,PROW4,PROW,Amerodectes protonotaria,120
5,1,PROW4,PROW,Amerodectes protonotaria,120
6,1,PROW4,PROW,Amerodectes protonotaria,120
6,1,PROW4,PROW,Amerodectes protonotaria,120
6,1,PROW4,PROW,Amerodectes protonotaria,120
6,1,PROW4,PROW,Amerodectes protonotaria,120
6,1,PROW4,PROW,Amerodectes protonotaria,120
6,1,PROW4,PROW,Amerodectes protonotaria,120
6,1,PROW4,PROW,Amerodectes protonotaria,120
6,1,PROW4,PROW,Amerodectes protonotaria,120
6,1,PROW4,PROW,Amerodectes protonotaria,120
6,1,PROW4,PROW,Amerodectes protonotaria,120
7,1,PROW4,PROW,Amerodectes protonotaria,120
7,1,PROW4,PROW,Amerodectes protonotaria,120
7,1,PROW4,PROW,Amerodectes protonotaria,120
7,1,PROW4,PROW,Amerodectes protonotaria,120
7,1,PROW4,PROW,Amerodectes protonotaria,120
7,1,PROW4,PROW,Amerodectes protonotaria,120
7,1,PROW4,PROW,Amerodectes protonotaria,120
7,1,PROW4,PROW,Amerodectes protonotaria,120
7,1,PROW4,PROW,Amerodectes protonotaria,120
7,1,PROW4,PROW,Amerodectes protonotaria,120
7,1,PROW4,PROW,Amerodectes protonotaria,120
7,1,PROW4,PROW,Amerodectes protonotaria,120
7,1,PROW4,PROW,Amerodectes protonotaria,120
7,1,PROW4,PROW,Amerodectes protonotaria,120
7,1,PROW4,PROW,Amerodectes protonotaria,120
7,1,PROW4,PROW,Amerodectes protonotaria,120
7,1,PROW4,PROW,Amerodectes protonotaria,120
7,1,PROW4,PROW,Amerodectes protonotaria,120
7,1,PROW4,PROW,Amerodectes protonotaria,120
7,1,PROW4,PROW,Amerodectes protonotaria,120
7,1,PROW4,PROW,Amerodectes protonotaria,120
7,1,PROW4,PROW,Amerodectes protonotaria,120
8,1,PROW4,PROW,Amerodectes protonotaria,120
8,1,PROW4,PROW,Amerodectes protonotaria,120
8,1,PROW4,PROW,Amerodectes protonotaria,120
8,1,PROW4,PROW,Amerodectes protonotaria,120
8,1,PROW4,PROW,Amerodectes protonotaria,120
8,1,PROW4,PROW,Amerodectes protonotaria,120
8,1,PROW4,PROW,Amerodectes protonotaria,120
8,1,PROW4,PROW,Amerodectes protonotaria,120
8,1,PROW4,PROW,Amerodectes protonotaria,120
8,1,PROW4,PROW,Amerodectes protonotaria,120
8,1,PROW4,PROW,Amerodectes protonotaria,120
8,1,PROW4,PROW,Amerodectes protonotaria,120
8,1,PROW4,PROW,Amerodectes protonotaria,120
8,1,PROW4,PROW,Amerodectes protonotaria,120
8,1,PROW4,PROW,Amerodectes protonotaria,120
8,1,PROW4,PROW,Amerodectes protonotaria,120
8,1,PROW4,PROW,Amerodectes protonotaria,120
8,1,PROW4,PROW,Amerodectes protonotaria,120
8,1,PROW4,PROW,Amerodectes protonotaria,120
8,1,PROW4,PROW,Amerodectes protonotaria,120
8,1,PROW4,PROW,Amerodectes protonotaria,120
8,1,PROW4,PROW,Amerodectes protonotaria,120
8,1,PROW4,PROW,Amerodectes protonotaria,120
8,1,PROW4,PROW,Amerodectes protonotaria,120
8,1,PROW4,PROW,Amerodectes protonotaria,120
8,1,PROW4,PROW,Amerodectes protonotaria,120
9,1,PROW4,PROW,Amerodectes protonotaria,120
9,1,PROW4,PROW,Amerodectes protonotaria,120
9,1,PROW4,PROW,Amerodectes protonotaria,120
9,1,PROW4,PROW,Amerodectes protonotaria,120
9,1,PROW4,PROW,Amerodectes protonotaria,120
9,1,PROW4,PROW,Amerodectes protonotaria,120
9,1,PROW4,PROW,Amerodectes protonotaria,120
9,1,PROW4,PROW,Amerodectes protonotaria,120
9,1,PROW4,PROW,Amerodectes protonotaria,120
9,1,PROW4,PROW,Amerodectes protonotaria,120
9,1,PROW4,PROW,Amerodectes protonotaria,120
9,1,PROW4,PROW,Amerodectes protonotaria,120
9,1,PROW4,PROW,Amerodectes protonotaria,120
9,1,PROW4,PROW,Amerodectes protonotaria,120
9,1,PROW4,PROW,Amerodectes protonotaria,120
9,1,PROW4,PROW,Amerodectes protonotaria,120
9,1,PROW4,PROW,Amerodectes protonotaria,120
9,1,PROW4,PROW,Amerodectes protonotaria,120
9,1,PROW4,PROW,Amerodectes protonotaria,120
9,1,PROW4,PROW,Amerodectes protonotaria,120
9,1,PROW4,PROW,Amerodectes protonotaria,120
9,1,PROW4,PROW,Amerodectes protonotaria,120
9,1,PROW4,PROW,Amerodectes protonotaria,120
9,1,PROW4,PROW,Amerodectes protonotaria,120
9,1,PROW4,PROW,Amerodectes protonotaria,120
9,1,PROW4,PROW,Amerodectes protonotaria,120
9,1,PROW4,PROW,Amerodectes protonotaria,120
10,1,PROW4,PROW,Amerodectes protonotaria,120
10,1,PROW4,PROW,Amerodectes protonotaria,120
10,1,PROW4,PROW,Amerodectes protonotaria,120
10,1,PROW4,PROW,Amerodectes protonotaria,120
10,1,PROW4,PROW,Amerodectes protonotaria,120
10,1,PROW4,PROW,Amerodectes protonotaria,120
10,1,PROW4,PROW,Amerodectes protonotaria,120
10,1,PROW4,PROW,Amerodectes protonotaria,120
10,1,PROW4,PROW,Amerodectes protonotaria,120
10,1,PROW4,PROW,Amerodectes protonotaria,120
10,1,PROW4,PROW,Amerodectes protonotaria,120
10,1,PROW4,PROW,Amerodectes protonotaria,120
1,1,PROW5,PROW,Amerodectes protonotaria,100
2,1,PROW5,PROW,Amerodectes protonotaria,100
2,1,PROW5,PROW,Amerodectes protonotaria,100
2,1,PROW5,PROW,Amerodectes protonotaria,100
2,1,PROW5,PROW,Amerodectes protonotaria,100
4,1,PROW5,PROW,Amerodectes protonotaria,100
4,1,PROW5,PROW,Amerodectes protonotaria,100
4,1,PROW5,PROW,Amerodectes protonotaria,100
4,1,PROW5,PROW,Amerodectes protonotaria,100
4,1,PROW5,PROW,Amerodectes protonotaria,100
4,1,PROW5,PROW,Amerodectes protonotaria,100
4,1,PROW5,PROW,Amerodectes protonotaria,100
4,1,PROW5,PROW,Amerodectes protonotaria,100
5,1,PROW5,PROW,Amerodectes protonotaria,100
5,1,PROW5,PROW,Amerodectes protonotaria,100
5,1,PROW5,PROW,Amerodectes protonotaria,100
5,1,PROW5,PROW,Amerodectes protonotaria,100
5,1,PROW5,PROW,Amerodectes protonotaria,100
5,1,PROW5,PROW,Amerodectes protonotaria,100
5,1,PROW5,PROW,Amerodectes protonotaria,100
5,1,PROW5,PROW,Amerodectes protonotaria,100
5,1,PROW5,PROW,Amerodectes protonotaria,100
5,1,PROW5,PROW,Amerodectes protonotaria,100
6,1,PROW5,PROW,Amerodectes protonotaria,100
6,1,PROW5,PROW,Amerodectes protonotaria,100
6,1,PROW5,PROW,Amerodectes protonotaria,100
6,1,PROW5,PROW,Amerodectes protonotaria,100
6,1,PROW5,PROW,Amerodectes protonotaria,100
6,1,PROW5,PROW,Amerodectes protonotaria,100
6,1,PROW5,PROW,Amerodectes protonotaria,100
6,1,PROW5,PROW,Amerodectes protonotaria,100
6,1,PROW5,PROW,Amerodectes protonotaria,100
6,1,PROW5,PROW,Amerodectes protonotaria,100
6,1,PROW5,PROW,Amerodectes protonotaria,100
6,1,PROW5,PROW,Amerodectes protonotaria,100
6,1,PROW5,PROW,Amerodectes protonotaria,100
6,1,PROW5,PROW,Amerodectes protonotaria,100
6,1,PROW5,PROW,Amerodectes protonotaria,100
6,1,PROW5,PROW,Amerodectes protonotaria,100
6,1,PROW5,PROW,Amerodectes protonotaria,100
6,1,PROW5,PROW,Amerodectes protonotaria,100
7,1,PROW5,PROW,Amerodectes protonotaria,100
7,1,PROW5,PROW,Amerodectes protonotaria,100
7,1,PROW5,PROW,Amerodectes protonotaria,100
7,1,PROW5,PROW,Amerodectes protonotaria,100
